VectorSize,Distance,Split,Pruning,Fscore,Precision,Recall,AlarmRate,DetectionRate,Accuracy,DistancesMatrixComputation,BuildingComputation,NumSplits,NumLeaves,Depth
100,DTW-value-localDistance-Lp-1-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.136350,0.336655,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.136350,0.336655,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.122632,0.196142,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.122632,0.196142,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,Standard,Full,0.980198,0.970588,0.990000,0.030000,0.990000,0.980000,0.117252,0.553483,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,Standard,Best,0.980198,0.970588,0.990000,0.030000,0.990000,0.980000,0.117252,0.553483,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,StandardCluster,Full,0.980198,0.970588,0.990000,0.030000,0.990000,0.980000,0.109828,0.812839,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,StandardCluster,Best,0.980198,0.970588,0.990000,0.030000,0.990000,0.980000,0.109828,0.812839,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,StandardCluster,Full,0.980198,0.970588,0.990000,0.030000,0.990000,0.980000,0.112044,0.793857,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-1-w=0min,StandardCluster,Best,0.980198,0.970588,0.990000,0.030000,0.990000,0.980000,0.112044,0.793857,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.761279,0.439859,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.761279,0.439859,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.782561,0.223787,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.782561,0.223787,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,Standard,Full,0.990000,0.990000,0.990000,0.010000,0.990000,0.990000,0.173683,0.585718,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,Standard,Best,0.990000,0.990000,0.990000,0.010000,0.990000,0.990000,0.173683,0.585718,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,StandardCluster,Full,0.990000,0.990000,0.990000,0.010000,0.990000,0.990000,0.721959,0.843151,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,StandardCluster,Best,0.990000,0.990000,0.990000,0.010000,0.990000,0.990000,0.721959,0.843151,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,StandardCluster,Full,0.990000,0.990000,0.990000,0.010000,0.990000,0.990000,0.772013,0.618939,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-2-w=0min,StandardCluster,Best,0.990000,0.990000,0.990000,0.010000,0.990000,0.990000,0.772013,0.618939,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-3-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.929243,0.257474,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-3-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.929243,0.257474,1.000000,2.000000,1.000000
